Name,Category,Base Where,About,Website,Twitter
Kyber Network ,DeFi,"Vietnam,Singapore",Crosschain DEX & aggregator on 15 chains ,https://kyber.network,https://twitter.com/KyberNetwork
Pendle Finance,DeFi,Singapore,A permissionless yield-trading protocol where users can execute various yield-management strategies.,https://www.pendle.finance,https://twitter.com/pendle_fi
"Aevo, fka Ribbon Finance",DeFi,"Malaysia,Singapore",Crypto structured products protocol on Ethereum,https://www.ribbon.finance/,https://twitter.com/ribbonfinance
Perpetual protocol,DeFi,Taiwan ,Decentralized trading protocol on Optimis,https://perp.com,https://twitter.com/perpprotocol
Furucombo,DeFi,Taiwan ,DeFi aggregator ,https://furucombo.app/,https://twitter.com/furucombo
Stella,DeFi,Thailand ,Leveraged Strategies Protocol on Arbitrum,https://app.stellaxyz.io/,https://twitter.com/stellaxyz_
INIT Capital,DeFi,Thailand ,The Liquidity Hook Money Market on Mantle,https://init.capital/,https://twitter.com/InitCapital_
EthSign,Infrastructure,"China,Singapore",Trust-less signing protocol,https://www.ethsign.xyz/,https://twitter.com/ethsign
Altlayer,Infrastructure,Singapore,A decentralized protocol that facilitates the launch of native and restaked rollups,https://altlayer.io/,https://twitter.com/alt_layer
imToken,"Infrastructure,Wallet","China,Singapore",Ethereum & Bitcoin Wallet,https://token.im,https://twitter.com/imTokenOfficial
Rabby Wallet ,"Infrastructure,Wallet","China,Singapore",User friendly wallet for Ethereum and all EVM chains,https://rabby.io,https://twitter.com/Rabby_io
Loopring,"Infrastructure,L2",China,Ethereum (Layer 2+3) ZK Rollup Protocol,https://loopring.org/#/,https://twitter.com/loopringorg
Taiko,"Infrastructure,L2","China,Singapore,Global ","Decentralized, Ethereum-equivalent (Type 1) zkEVM.",https://taiko.xyz,https://twitter.com/taikoxyz
Scroll ,"Infrastructure,L2","China,Global ",Native zkEVM Layer 2 for Ethereum,https://scroll.io,https://twitter.com/Scroll_ZKP
Mantle ,"Infrastructure,L2",Singapore,An L2 scalability solution built on top of Ethereum,https://www.mantle.xyz/,https://twitter.com/0xMantle
Etherscan ,"Infrastructure,Explorer",Malaysia,A Block Explorer and Analytics Platform for Ethereum,https://etherscan.io,https://twitter.com/etherscan
CoinGecko,"Infrastructure,Data Platform",Malaysia,Independent crypto data aggregator,https://www.coingecko.com,https://twitter.com/coingecko
Sky Mavis,Gaming/ Metaverse,Vietnam,"Game studio which develops the Axie Infinity, a blockchain game which uses Ethereum-based cryptocurrencies",https://skymavis.com,https://twitter.com/AxieInfinity
Yield Guild Games,Gaming/ Metaverse,Philippines,The world's first and biggest web3 gaming guild,https://www.yieldguild.io,https://twitter.com/YieldGuild
Topology,Gaming/ Metaverse,"Taiwan ,Global ",Onchain realities on ZK Rollup,https://www.topology.gg/,https://twitter.com/topology_gg
Tetration Lab,Gaming/ Metaverse,Thailand ,"Research and Development Lab for Cryptography, Web3, and On-chain Game.",https://www.tetrationlab.com/,https://twitter.com/Tetration_Lab
Zonic,NFT,Thailand ,NFT Marketplace across Ethereum Layer 2,https://zonic.app,https://twitter.com/ZonicApp
Bored Town ,NFT,Thailand ,NFT project on Optimism ,https://opensea.io/collection/boredtown,https://twitter.com/BoredTownNFT
togETHer,Community,China,A group of communities to promote Ethereum in China,https://github.com/tog-ETH-er,N/A
PlanckerDAO,Community,China,"A group of Engineers, Reseachers, PMs from Asia who long for building the Ethereum eco in the Great China",https://plancker.org/,https://twitter.com/PlanckerDao
ZKP Labs,Community,Vietnam,"A non-profit organization dedicated to establishing ZKP focused environment in SEA for studying, development and construction of the Zero-knowledge proof resource",https://zkplabs.network/,https://twitter.com/ZKPLabs
Solidity Singapore,"Community,Meetup",Singapore,Technical (and not only) telegram chat for devs who are based in Singapore,N//A,N/A
ETH Penang,"Community,Meetup",Malaysia,"Ethereum meetup in Penang, Malaysia, under ETHKL umbrella ",https://www.eventbrite.sg/o/eth-penang-67167110463,N/A
ETH63,"Community,Meetup",Philippines,An Ethereum community in Manila ,https://t.co/MB9k2gYAqN,N/A
852devxyz,"Community,Meetup",Hongkong,Web3 dev community in Hongkong,https://linktr.ee/852devxyz,https://twitter.com/852devxyz
ETH Indonesia ,"Community,Meetup",Indonesia,An Ethereum community in Jakarta ,N/A,https://twitter.com/eth_indo
Taipei Ethereum Meetup,"Community,Meetup",Taiwan ,"An Ethereum community in Taipei, organzing ethereum meetups since 2016 ",https://www.meetup.com/taipei-ethereum-meetup/,https://twitter.com/eth_taipei
Zero Knowledge Taipei,"Community,Meetup",Taiwan ,ZK meetup in Taipei,https://lu.ma/calendar/cal-wM4BFmSsqcj4HmU,N/A
EthPadThai,"Community,Meetup",Thailand ,A group of Ethereum professionals join forces to expand the knowledge and awareness of Ethereum in Thailand,https://ethpadthai.org,https://twitter.com/ethpadthai
THBUIDL,"Community,Meetup",Thailand ,A gated community for founders and builders in Thailand working on projects in the web3 space. ,https://thbuidl.xyz/,https://twitter.com/THBUIDL
ETHKL,"Community,Meetup,Conference",Malaysia,"An Ethereum community in Kuala Lumpur, organizing ethereum meetups since 2016 ",https://www.meetup.com/ethmalaysia/,https://twitter.com/ETHKL1
Ethereum Singapore,"Community,Conference",Singapore,An Ethereum community in Singapore,https://ethereumsingapore.com,https://twitter.com/ethereum_sg
ETH Taipei ,"Community,Conference",Taiwan ,Annual ethereum conference and hackathon in Taipei,https://ethtaipei.org,https://twitter.com/EthTaipei
ETHBangkok,"Community,Conference",Thailand ,"Annual ethereum conference in Bangkok, organized by Atato ",https://www.atato.com/ethereum-bangkok-event-recap/,N/A
Dapp Learning ,"Community,Education",China,An open-sourced developer community focusing on Ethereum and Layer2.,https://dapplearning.org,https://twitter.com/Dapp_Learning
WTF Academy,"Community,Education",China,Web3 Open University for Web2 devs,https://www.wtf.academy/,https://twitter.com/WTFAcademy_
ETHPlanet,"Community,Education",China,An org dedicated to Ethereum ecosystem development in China ,https://ethplanet.org/6c096723cfdd45eb81542d284839b30a,https://twitter.com/ethplane
"Ethereum Community Network, China","Community,Education",China,A community focusing on ethereum education in China,https://www.ethereum.cn/,https://twitter.com/EthereumCN
ETH Shanghai,Conference,China,Annual Ethereum conference in Shanghai,https://ethshanghai.org/hackathon,N/A
ETH Beijing,Conference,China,Annual Ethereum conference in Beijing,https://www.ethbeijing.xyz/,N/A
ETH Hangzhou,Conference,China,Annual Ethereum conference in Hangzhou,https://www.ethhangzhou.xyz/,N/A
ETH Hongkong,Conference,Hongkong,An ethereum conference in Hongkong ,https://www.ethhongkong.co/,https://twitter.com/EthereumHK
"Call for Paper, under Taipei Ethereum Meetup",Education,Taiwan ,Technical Blog about ethereum maintained by community members from Taipei Ethereum Meetup ,https://medium.com/taipei-ethereum-meetup,N/A
solidity.tw,Education,Taiwan ,Solidity course ,https://www.youtube.com/watch?v=fpA2yxLKU5o&list=PLHmOMPRfmOxQYDnXAc1hKY6ra4WDU8ZlM,N/A
"Fudan University, Blockchain Club","Education,Blockchain Club",China,Blockchain Club at Fudan University,https://www.fudanblockchain.club/,N/A
"Peking University, Blockchain Club","Education,Blockchain Club",China,Blockchain Club at Peking University ,N/A,https://twitter.com/pkublockchain
"National University of Singapore, Blockchain under NUS Fintech Society ","Education,Blockchain Club",Singapore,Blockchain Club at NUS,https://fintechsociety.comp.nus.edu.sg/departments/blockchain,N/A
"Nanyang Technological University, Blockchain Club","Education,Blockchain Club",Singapore,Blockchain Club at NTU,https://www.ntu.edu.sg/cctf/cctf-community/blockchain@ntu,N/A
"Singapore Management University, Blockchain Club","Education,Blockchain Club",Singapore,Blockchain Club at SMU,https://www.smublockchainclub.com,https://twitter.com/smu_blockchain
"Singapore University of Technology and Design, Blockchain Technology course","Education,Blockchain Club",Singapore,"A course about Blockchain Tehcnology, covering bitcoin and Ethereum foundations",https://istd.sutd.edu.sg/undergraduate/courses/50037-blockchain-technology/,https://twitter.com/SUTDBlockchain
"Asia Pacific University of Technology & Innovation, Blockchain Club","Education,Blockchain Club",Malaysia,Blockchain Club at APU,https://apubcc.org,https://twitter.com/apubcc
Sunway University ,"Education,Blockchain Club",Malaysia,Blockchain Club at SU,https://sunwayblockchain.com/en,https://x.com/SunwayBCC
"Nanyang Technological University, Master of Science in Blockchain ","Education,Master Program",Singapore,"Master of Science in Blockchain Program at NTU, covering blockchain and its applications ",https://www.ntu.edu.sg/cctf/ace-ntu/education-trust/master-of-science-in-blockchain,N/A
"Hong Kong Polytechnic University, Master of Science in Blockchain Technology","Education,Master Program",Hongkong, The first MSc in Blockchain Technology (MScBT) in Hong Kong,https://www.polyu.edu.hk/en/comp/study/taught-postgraduate-programme/msc-bt/,N/A
"Peking University, Blockchain Technology and Applications","Education,Course",China,A course about blockchain technology and applications,http://zhenxiao.com/blockchain/,N/A
"Tsinghua Univeristy, Blockchain and Cryptocurrency","Education,Course",China,A MOOC about blockchain and cryptocurrency fundamentals ,https://www.xuetangx.com/course/thu12021002731/19318701,N/A
"National Chengchi University, Ethereum DApp Development course ","Education,Course",Taiwan ,Open Source course on Ethereum DApp Development at NCCU by prof Gong Chen and Changwu Chen,https://docs.google.com/document/d/16V3HBwE78-vOex58P8s59TMxifhQi85_-whUd1ACd40/edit,N/A
"National Yang Ming Chiao Tung University, Blockchain Development and FinTech","Education,Course",Taiwan ,A course for blockchain development ,https://bdaf.notion.site/Blockchain-Development-and-FinTech-fe3524ca2f3544dcb0555514bcc901e5,N/A
Curia Labs ,DAO Tooling,Thailand ,Curia Lab develops and refines data-driven tools for DAO governance,https://www.curialab.xyz/,https://twitter.com/Curia_gov
Mest,On-chain Data Analytics,China,A simple and open platform for sharing blockchain transactions. ,https://mest.io/,https://twitter.com/mest_io
DeBank ,On-chain Data Analytics,"China,Singapore","Web3 portfolio tracker that covers all tokens, DeFi protocols, NFTs across all EVM chains",https://debank.com,https://twitter.com/DeBankDeFi